	contig_id	contig_name	contig_length	id	label	chromosome.Acidobacteria	chromosome.Actinobacteria	chromosome.Bacteroidetes	chromosome.Chlamydiae	chromosome.Chlorobi	chromosome.Chloroflexi	chromosome.Cyanobacteria	chromosome.DeinococcusThermus	chromosome.Firmicutes	chromosome.Fusobacteria	chromosome.Nitrospirae	chromosome.other	chromosome.Planctomycetes	chromosome.Proteobacteria	chromosome.Spirochaetes	chromosome.Tenericutes	chromosome.Thermotogae	chromosome.Verrucomicrobia	plasmid.Actinobacteria	plasmid.Bacteroidetes	plasmid.Chlamydiae	plasmid.Cyanobacteria	plasmid.DeinococcusThermus	plasmid.Firmicutes	plasmid.Fusobacteria	plasmid.other	plasmid.Proteobacteria	plasmid.Spirochaetes
10	10	AUGLS01_NODE_125051_length_914_cov_1.711292	914	13	chromosome.Proteobacteria	3.3569268e-06	4.1086982e-06	1.6921418e-06	4.051602e-05	6.4780535e-05	2.6114874e-05	5.5618293e-06	8.950167e-06	1.580341e-05	2.9358696e-06	3.516668e-05	0.00021442387	3.8930484e-06	0.80510783	0.00027447692	1.9284458e-05	1.6523956e-06	0.000112777234	1.3810315e-08	3.0397641e-06	4.968908e-06	3.6928834e-06	5.4368667e-07	3.7237034e-05	7.8119165e-06	8.21316e-05	0.19391042	6.832973e-06
11	11	AUGLS01_NODE_141192_length_849_cov_2.270781	849	26	plasmid.Proteobacteria	2.3251885e-06	4.7598296e-06	5.229052e-06	0.0001271976	8.906322e-05	1.1753935e-05	3.9323854e-06	9.6110074e-05	0.00031392454	0.00067971874	0.00027367737	3.4209574e-05	1.958546e-05	0.13792467	0.00048443335	0.002845603	2.18607e-05	8.730924e-05	1.2771096e-07	0.0002900875	0.00019533868	1.4525743e-06	6.821107e-05	0.047588255	0.0005557058	0.0016088705	0.8046942	0.0019724248
12	12	AUGLS01_NODE_148934_length_823_cov_2.052083	823	13	chromosome.unclassified	0.00062042	0.1347631	0.0011014285	0.0011030744	0.0009052364	0.011202081	0.006501645	0.010943676	6.595419e-06	0.000113138034	0.00021473684	0.0070701665	0.0008137293	0.4857341	0.12635127	0.000533131	0.00036103852	0.0037828714	2.7274387e-05	0.017031044	0.0010291816	0.005477524	0.00025122229	0.00047640328	8.572042e-05	0.012919561	0.098490804	0.072089784
13	13	AUGLS01_NODE_173126_length_751_cov_2.218391	751	13	chromosome.unclassified	0.024269631	0.0012289535	2.3565595e-05	7.00748e-05	0.0010503918	0.25325826	0.00030888477	0.025793148	2.749306e-06	1.2329467e-05	0.00021954048	0.0008970983	0.00016449204	0.50137204	0.048473954	2.1349174e-06	2.4852243e-05	0.0015747958	6.0446193e-05	0.00057767215	4.4837023e-05	9.33426e-05	0.0020838405	4.5821066e-06	2.1641155e-05	0.002581999	0.1356607	0.00012408038
14	14	AUGLS01_NODE_175055_length_746_cov_1.959479	746	23	plasmid.unclassified	6.8069414e-05	2.3070206e-05	0.00046004483	0.0021448631	0.00030681718	3.5797664e-05	1.8088498e-05	7.871894e-06	0.010090471	0.0020268373	0.0036386133	0.003636417	0.0007611914	0.00030801565	0.0013635103	0.0006822674	0.011470391	0.0006752039	1.1856686e-05	0.0016181585	0.0019064454	3.5538415e-05	1.0780294e-05	0.56487715	0.004294655	0.02830872	0.36103967	0.00017953977
15	15	AUGLS01_NODE_181509_length_730_cov_1.848889	730	19	unclassified.unclassified	0.0010443054	0.0013382515	0.107934445	0.0026293902	0.0023227793	0.0009277682	0.0017606214	0.007023224	0.0007885836	0.002897647	0.008024282	0.13539058	0.004438913	0.0028027352	0.15218328	0.00021366798	0.049855515	0.013486285	0.008944134	0.3665528	0.0013379619	0.00010937239	0.0036743206	0.06967854	0.004846202	0.030587727	0.0010053288	0.018201368
16	16	AUGLS01_NODE_182792_length_727_cov_1.714286	727	13	unclassified.Proteobacteria	9.535529e-06	1.1380552e-06	9.618374e-07	1.5486343e-06	6.85886e-05	0.00016903957	3.2426829e-07	9.304254e-06	2.1760174e-07	1.9384295e-07	1.4821561e-06	2.1747013e-05	3.2648757e-07	0.6327363	3.3397115e-05	4.9604697e-08	1.5293284e-07	1.6597094e-05	1.9550995e-08	5.064973e-07	1.3702021e-07	4.3969473e-07	1.11756236e-07	2.6480371e-09	3.6315046e-07	1.1761644e-05	0.36691555	1.8039384e-07
17	17	AUGLS01_NODE_186913_length_717_cov_1.617825	717	26	plasmid.Proteobacteria	0.00052657013	3.889272e-05	1.2393636e-05	0.0002254672	0.0041848565	0.00092338974	2.968195e-05	4.725042e-05	4.8533916e-06	1.0187236e-05	0.0005160445	0.000697373	0.00013080538	0.03583729	0.000840862	1.0763607e-06	0.00018161071	0.001526842	0.00014223189	3.2094275e-05	2.7134041e-05	1.947483e-05	1.6681024e-05	1.4225988e-05	2.3038381e-05	0.002551602	0.9513474	9.06585e-05
18	18	AUGLS01_NODE_197571_length_693_cov_1.907524	693	23	plasmid.unclassified	3.76556e-05	0.00014164789	8.787375e-05	0.0008035815	0.03168472	3.5174136e-05	1.9428693e-05	3.8703667e-05	1.2580946e-05	7.221173e-05	0.0040993285	0.0054354477	0.0007648582	0.060449228	0.009269765	0.00014966968	0.07909227	0.008352895	0.00013285641	0.0010429806	0.0011540954	0.00012769924	1.3065596e-05	0.4996288	0.00035635475	0.0033781976	0.29342696	0.00019194574
19	19	AUGLS01_NODE_198832_length_690_cov_2.540157	690	13	unclassified.Proteobacteria	0.0010785201	0.0031871793	1.4029573e-06	0.0013541359	0.00039443668	0.0026793957	0.007331412	0.0067711915	5.6497825e-06	0.00024986317	0.0015971694	0.0035561125	0.009650701	0.33665738	0.018671425	0.00028824183	0.0006916193	0.0049591046	0.0028546862	0.00033768624	0.001315501	0.00171436	0.005687488	0.0044556237	0.00049875013	0.07951878	0.48500836	0.019483851
20	20	AUGLS01_NODE_199148_length_690_cov_1.275591	690	13	chromosome.Proteobacteria	0.00016548636	1.3136399e-05	5.570404e-07	3.769289e-05	8.351834e-05	0.0011360701	0.0023535287	0.014160189	3.5289883e-08	1.0868332e-05	7.67001e-05	0.00055535574	0.000401489	0.85075396	0.0011668439	1.42409845e-05	1.2231925e-05	0.00045253674	8.514441e-06	4.5586068e-05	4.0209252e-05	0.0001250035	0.0015286934	5.904785e-07	2.3886598e-05	0.00599576	0.12053409	0.0003032097
21	21	AUGLS01_NODE_203873_length_680_cov_1.926400	680	26	unclassified.unclassified	0.004936137	0.0013979123	0.00028365248	0.0011836522	0.0030667335	0.0016606512	0.00014773993	0.00051897945	0.32804492	0.00019685105	0.0045453715	0.013880561	0.0034808114	0.015522054	0.007877864	4.7872833e-05	0.0015439425	0.0058942363	9.246819e-06	0.0010349294	0.00021273503	0.00036340568	0.00015744996	0.00010649887	0.00090715865	0.042407136	0.5598143	0.00075720693
22	22	AUGLS01_NODE_205726_length_676_cov_2.344605	676	0	unclassified.unclassified	0.2538626	0.0292105	0.00014516703	0.0162389	0.0038415107	0.025414543	0.02534935	0.008912171	3.3430933e-05	0.00046009882	0.0081073055	0.015582916	0.08444663	0.066176765	0.056029808	0.00047636792	0.0045044725	0.039832655	0.0028159346	0.0028962416	0.006828861	0.047783066	0.020354262	0.0010938944	0.0007020785	0.21895368	0.043030694	0.016916065
23	23	AUGLS01_NODE_208488_length_671_cov_1.293831	671	11	chromosome.unclassified	0.00021407015	0.0024827754	0.00042424505	0.0023890797	0.0028953978	0.00024071817	0.0001555978	0.006807031	0.0007590228	0.008558294	0.005272345	0.34238032	0.0011053268	0.14782128	0.18339646	0.0006033182	0.002876131	0.0064626294	0.00022485171	0.003525078	0.001203074	1.4544763e-05	0.0014202576	0.116953485	0.009492479	0.064597346	0.02578591	0.061938893
24	24	AUGLS01_NODE_214488_length_659_cov_1.576159	659	13	unclassified.Proteobacteria	8.97542e-05	2.131087e-05	1.6281077e-05	0.00024970254	0.0001910078	0.0022407952	0.01721218	0.016919145	8.496178e-08	2.8274118e-05	8.712365e-05	0.0003921388	0.00027544342	0.6232889	0.006526465	0.00019750209	1.0885466e-05	0.00048531583	3.8080005e-05	0.00036797076	0.00041781526	0.004539397	0.0040589166	6.193261e-06	3.0230285e-05	0.004248978	0.3087674	0.00929272
25	25	AUGLS01_NODE_215183_length_657_cov_3.607973	657	6	chromosome.unclassified	0.00036144126	0.0025293508	4.1184508e-06	0.0035121087	0.00016360877	0.0015952756	0.5017026	0.004079727	0.001908328	0.00012925273	0.00041060112	0.0012060951	0.01117001	0.34254608	0.0024069508	0.008259857	0.00024830457	0.002158899	1.6037675e-05	0.000528824	0.0015297768	0.086449206	0.0011082811	2.5793137e-05	8.7951e-05	0.015390619	0.0011531536	0.009317777
26	26	AUGLS01_NODE_217322_length_653_cov_2.874582	653	26	plasmid.unclassified	0.0021096924	0.00023862085	0.00015360315	0.0015841005	0.001569087	0.013899136	0.0038230363	0.0023089724	0.00016401567	0.00046574554	0.0015584514	0.013357007	0.0030130213	0.15333031	0.009784722	0.00020426855	0.00076517864	0.004329812	6.190871e-05	0.0019615376	0.00049996044	0.004055192	0.0023293514	5.324358e-05	0.00048623825	0.07539149	0.6996341	0.0028682023
27	27	AUGLS01_NODE_233521_length_624_cov_2.616872	624	1	unclassified.unclassified	0.00067585596	0.10892596	3.2030865e-05	0.001191066	0.002552857	0.0003630848	0.0005661094	0.00058177585	5.5968772e-05	0.00020507311	0.0015576439	0.0047280183	0.004563592	0.24035482	0.020553444	0.00016913789	0.0013997814	0.004858782	0.001165008	0.00020859134	0.0019334805	0.00040347668	0.00012759324	0.017944986	0.0003194831	0.037673283	0.44534865	0.101540424
28	28	AUGLS01_NODE_235520_length_621_cov_1.865724	621	26	unclassified.Proteobacteria	0.0006322577	0.0022299278	0.00067766313	0.00088377035	0.0011028276	0.004120405	0.0017474393	0.0017623686	0.00024371468	0.000136111	0.00036247703	0.0035661047	0.0003949078	0.47545075	0.005445141	0.0002687054	0.00012998066	0.001864175	1.1230741e-06	0.003006675	0.0001486555	0.0007757358	0.00015643115	6.040729e-05	0.00012522319	0.0049870587	0.48878613	0.00093384576
29	29	AUGLS01_NODE_238684_length_616_cov_1.475936	616	26	unclassified.Proteobacteria	1.4235115e-07	1.098796e-07	1.4746742e-08	1.009931e-05	6.314642e-06	7.2724225e-07	2.8617636e-08	8.316301e-08	0.004379364	1.4070504e-07	0.00019004087	3.9221748e-05	1.3387217e-06	0.4379107	2.9299704e-07	1.8997308e-06	2.435816e-06	2.4028452e-05	3.1355283e-09	1.3666187e-07	3.2918442e-07	1.6890574e-07	2.4250907e-08	0.04230082	1.8881882e-06	6.062896e-06	0.51512355	1.4484352e-08
30	30	AUGLS01_NODE_241120_length_612_cov_1.723519	612	26	plasmid.unclassified	9.133643e-05	0.00036597555	0.0005077477	0.0008857443	0.00071928714	0.00011377113	9.631036e-06	1.3246141e-06	0.0032021615	2.742234e-05	0.00100155	0.00017258961	0.00027147555	0.0021549282	0.00013462434	4.443859e-05	0.0009564141	0.00037018233	1.2062832e-05	0.0008089287	0.0007704859	0.0005256121	4.059039e-06	0.3368155	9.746993e-05	0.002164335	0.64777046	4.2712978e-07
31	31	AUGLS01_NODE_243837_length_607_cov_3.161232	607	12	unclassified.unclassified	0.0023008015	0.00012775061	0.0021948267	0.006995559	0.0016752485	0.010429076	0.05379914	0.014821214	0.052570388	0.010893333	0.013269494	0.028618542	0.24980658	0.00026554297	0.15236172	0.001684867	0.015590862	0.016951764	0.0004936422	0.07217272	0.009548235	0.0030047514	0.04146552	0.013304364	0.0070395223	0.20613362	0.0010073885	0.011473504
32	32	AUGLS01_NODE_245452_length_605_cov_1.798182	605	1	unclassified.unclassified	0.009089822	0.42646027	0.022267006	0.00037180554	0.00091090595	0.006131075	0.0020524794	0.020155268	2.0284313e-05	8.084966e-05	0.0010033605	0.030950332	0.008604623	0.00033972252	0.0446035	4.0853324e-06	0.0011405848	0.005301233	0.20787062	0.039584186	0.00014004538	0.00048036093	0.10579002	0.01878344	0.00013431406	0.044545412	3.245423e-05	0.0031520166
33	33	AUGLS01_NODE_250204_length_598_cov_1.254144	598	13	chromosome.unclassified	9.576313e-07	1.6112536e-07	2.412181e-07	2.2345574e-05	9.553903e-06	4.7704572e-05	1.8459992e-05	0.009343126	2.0634817e-08	1.4572809e-05	5.6174435e-05	0.011593389	1.2717709e-05	0.6122611	0.116014004	2.801072e-06	4.5117345e-06	0.00090677664	9.393738e-08	7.503799e-06	0.0004681004	6.932817e-05	4.8376576e-05	0.00032505713	0.0004442061	0.0074674063	0.24019194	0.00066938065
34	34	AUGLS01_NODE_253747_length_592_cov_2.324022	592	26	unclassified.Proteobacteria	0.0004162927	5.561205e-06	4.456964e-06	0.00012854765	0.0002611468	0.0006670612	0.00028248047	0.00046693406	6.576729e-08	3.2177428e-05	0.00047705276	0.00059944973	0.00082156964	0.3679743	0.002826521	4.799549e-06	4.5594967e-05	0.00089608086	0.005515476	1.27365465e-05	0.00015954996	0.0001256492	0.00015326348	8.02019e-06	8.8949404e-05	0.021126121	0.5964324	0.00046779247
35	35	AUGLS01_NODE_257342_length_587_cov_1.484962	587	25	plasmid.unclassified	0.0017877443	0.0008667387	0.0007609862	0.0044610123	0.0009892586	0.0008846651	0.013159742	0.008291132	0.0008848955	0.00135085	0.018190658	0.035092518	0.10275555	0.00547644	0.032831192	0.0004293561	0.004511787	0.020328196	0.07054157	0.047928784	0.004041579	0.0038076371	0.09924695	0.04474856	0.0013677087	0.33302498	0.1411433	0.0010962497
36	36	AUGLS01_NODE_260522_length_582_cov_1.916509	582	26	plasmid.Proteobacteria	6.1741034e-06	0.00013741931	7.0431274e-06	4.4618926e-05	1.5072983e-05	0.00022323006	0.00033340245	1.33520225e-05	1.0672986e-07	3.6543977e-06	9.728658e-06	2.3447385e-05	4.8443977e-05	0.01576677	4.4892247e-05	5.182913e-05	4.417801e-06	5.2652915e-05	3.2966266e-06	2.7950779e-05	0.00013848758	0.003437498	5.0052627e-06	0.000102741615	4.264269e-06	0.001481821	0.977839	0.00017369569
37	37	AUGLS01_NODE_271314_length_567_cov_1.875000	567	26	plasmid.Proteobacteria	0.00084062835	0.0011154269	5.9860536e-06	0.0006662833	0.000672807	0.0005319522	4.078155e-05	3.9145587e-05	2.1240767e-05	1.7141707e-05	0.006228687	0.00069870363	0.0035205933	0.011474556	0.00040321887	8.541616e-06	0.0004916797	0.0020496068	0.0009262217	2.0161777e-05	0.00023681294	0.000353766	7.018571e-05	0.00021962654	6.626765e-05	0.030438073	0.93868285	0.00015898638
38	38	AUGLS01_NODE_307338_length_523_cov_1.521368	523	11	chromosome.unclassified	0.014770195	0.0018248184	0.046949986	0.00025086963	0.005660182	0.023859432	0.00012209122	0.008112096	0.00016455383	2.0457679e-05	0.0022944002	0.19652455	0.0015848287	0.4299794	0.010060888	3.5936948e-06	0.0011211353	0.013162095	7.2829476e-05	0.000931604	6.0994924e-05	0.00017625792	0.003456197	1.4782415e-05	0.00021368948	0.012660618	0.2257899	0.00015752736
39	39	AUGLS01_NODE_308710_length_521_cov_2.658798	521	26	unclassified.Proteobacteria	6.895707e-07	7.856066e-07	0.0002694265	2.6182809e-06	1.894247e-05	7.959656e-07	4.951183e-09	1.2468452e-05	6.385529e-07	2.6862793e-07	1.8124172e-05	0.00015522189	4.6890497e-07	0.32876864	6.478874e-06	6.828886e-08	1.9371287e-06	1.033353e-05	4.895275e-09	1.6412218e-07	3.1665266e-07	3.977164e-08	5.1986536e-08	2.5143038e-06	2.6961789e-06	2.4825798e-05	0.67070127	2.1910388e-07
40	40	AUGLS01_NODE_311972_length_518_cov_1.589633	518	13	chromosome.Proteobacteria	2.7766187e-05	0.020578168	1.1727965e-07	5.2529173e-05	2.3115315e-05	0.00020671583	0.0019469211	5.8558096e-05	0.0001840433	4.5787083e-06	0.00011987751	0.00013249107	0.05818878	0.7028689	6.226001e-05	3.162031e-05	1.6493099e-05	0.0057494026	8.5398846e-05	1.4929265e-06	6.7518915e-05	0.00036076127	9.218599e-06	0.021440664	9.833826e-06	0.020256286	0.16737749	0.0001390212
41	41	AUGLS01_NODE_320481_length_509_cov_1.687225	509	21	plasmid.unclassified	0.0008627533	0.023933314	0.0006986859	0.013080631	0.0007714275	0.0010177811	0.043386642	0.00038744183	0.012589519	0.0009958111	0.0051237904	0.003735574	0.055138383	0.0009489976	0.016486084	0.0064808116	0.0068234676	0.0077473666	0.0067031574	0.030988567	0.03185088	0.12832652	0.0026232523	0.4222066	0.0007479135	0.116924405	0.029029218	0.03039095
42	42	AUGLS05_NODE_5072_length_5985_cov_35.581282	5985	26	plasmid.Proteobacteria	0.0025808525	2.0431888e-05	1.1055187e-05	0.0019869194	0.00051658787	0.0026449135	0.00031204653	0.0002813506	1.2482133e-06	1.7244796e-05	0.0025570597	0.00087494013	0.014401174	0.00088970276	0.00078898604	5.846509e-06	0.0017852806	0.0013831003	4.237417e-05	0.0001559187	0.0016516055	0.007447338	0.0011553533	4.0426472e-05	9.917135e-05	0.07218225	0.88616467	2.1645076e-06
43	43	AUGLS05_NODE_8901_length_4265_cov_16.811876	4265	26	plasmid.Proteobacteria	1.9185597e-06	1.0265541e-06	2.5997072e-06	2.2306069e-05	0.00019930654	1.871622e-05	2.192268e-07	2.4080532e-06	7.101388e-05	1.3858327e-06	8.57343e-05	1.7089442e-05	1.6089552e-06	0.2120992	8.85838e-06	1.0808318e-06	4.2353286e-06	5.7153477e-05	3.0870189e-07	2.1191188e-05	3.3935946e-06	4.4475019e-07	2.007949e-06	0.00023603589	3.838277e-06	6.7381945e-05	0.78706956	6.99893e-09
44	44	AUGLS05_NODE_12294_length_3520_cov_5.165945	3520	1	chromosome.Actinobacteria	0.0005029492	0.83689594	0.04377259	2.9220057e-06	0.0003265473	0.0001753975	9.765926e-07	0.00016196865	0.0004382104	7.9751356e-07	0.00013093067	0.0041341805	6.587253e-05	0.020907618	0.0002689504	7.591095e-09	1.0514436e-05	0.0012493487	0.012946799	0.00028792577	6.098797e-07	5.080899e-08	6.1106734e-06	0.0012032154	2.184894e-06	0.0004064395	0.07610078	2.3386718e-07
45	45	AUGLS05_NODE_23440_length_2418_cov_2.324587	2418	13	chromosome.Proteobacteria	0.012220499	0.03199686	0.0002280121	0.00019339955	0.0021904258	0.013117112	0.00018523955	0.023903564	0.0015835842	5.9233498e-05	0.0019306858	0.036845658	0.0010256764	0.74607867	0.028421095	1.6115765e-06	8.383751e-05	0.016336724	5.2272797e-05	0.00025795127	2.2950308e-05	2.047302e-06	0.00062003755	3.6072279e-06	9.308976e-05	0.012327538	0.07003558	0.0001830269
46	46	AUGLS05_NODE_38992_length_1815_cov_15.689205	1815	8	unclassified.unclassified	0.0003029166	0.0017647344	0.05275866	0.00022647767	0.0036191978	0.0001006258	1.3154564e-06	4.4978538e-06	0.5766637	8.947416e-05	0.00086692494	0.006258358	1.0216211e-05	0.0006119431	0.0005809236	3.4874877e-06	0.0017259537	0.0008141028	2.5522631e-06	0.018257616	1.8329789e-05	5.757161e-06	1.493519e-06	0.014810584	0.00018420198	0.00029702132	0.32000646	1.2553194e-05
47	47	AUGLS05_NODE_52894_length_1523_cov_4.256131	1523	26	plasmid.unclassified	0.004539655	0.0057142344	0.0013906597	0.017119447	0.0041722246	0.006973294	0.0037029556	0.000610663	0.0005423482	0.00025866568	0.010300621	0.011011367	0.032529566	0.15410428	0.006699437	0.00020679185	0.008369488	0.01233987	0.0044732494	0.00511827	0.007233935	0.038808446	0.0016116424	0.014529048	0.00055629335	0.07301291	0.57331306	0.00075759314
48	48	AUGLS05_NODE_54704_length_1494_cov_4.316887	1494	26	unclassified.Proteobacteria	0.00014645439	0.0002170868	2.4844692e-06	0.00033281106	0.00014639804	0.00035021137	0.001171097	0.0012424183	4.732095e-08	9.085302e-06	0.000113605616	0.0003019214	0.00085783936	0.3228059	0.0008066935	5.6884648e-05	2.61935e-05	0.00051827	4.7008655e-07	5.562614e-05	0.0018080267	0.0039573438	0.00045531677	2.7537471e-06	1.9609806e-05	0.0070985775	0.65672326	0.0007736376
49	49	AUGLS05_NODE_56637_length_1465_cov_3.063121	1465	8	unclassified.unclassified	0.0002916965	0.023856776	8.491644e-06	9.082606e-05	4.0157436e-05	0.00024334226	0.00030480555	5.267732e-05	0.56245095	1.8397599e-05	0.0018708581	0.0013739296	0.04849118	0.00016871399	0.00026777707	5.0984145e-06	3.214554e-05	0.0024877253	0.0004226939	2.1831505e-05	1.7631672e-05	1.706253e-05	3.538879e-05	0.048386097	2.2928047e-05	0.033009622	0.27599785	1.338078e-05
50	50	AUGLS05_NODE_56901_length_1461_cov_3.216216	1461	1	chromosome.Actinobacteria	0.0026858747	0.782363	2.3667106e-05	7.900441e-05	4.5484692e-05	0.0027238254	0.0010880787	0.026440121	2.6302885e-07	5.001628e-06	0.00051064783	0.0021537247	0.025147052	8.752989e-05	0.0046381676	6.5052615e-07	0.00016690996	0.0038745422	0.08879698	3.9876177e-05	7.223414e-05	3.6994472e-05	0.03652594	2.7708817e-05	1.3070753e-05	0.021110347	2.1415042e-06	0.0013410589
51	51	AUGLS05_NODE_65221_length_1349_cov_2.097372	1349	26	plasmid.Proteobacteria	0.00022674755	0.00080322084	0.0033650992	0.0027138244	0.0022764194	0.0023798596	7.30386e-05	0.0002946468	0.009220712	0.00017811806	0.001300542	0.0049729426	0.00020850085	0.07772825	0.0045137214	5.4399872e-05	0.00040476178	0.0034285225	2.5637995e-05	0.03082209	0.00016194386	8.843504e-05	0.00014299026	0.008751203	0.00029274388	0.008410465	0.8370388	0.00012232432
